location,continent,date,total_cases,total_deaths,people_vaccinated,population,gdp_per_capita,hospital_beds_per_thousand
Belarus,Europe,2023-09-03,994037.0,7118.0,6536392.0,9534956,17167.967,11.0
Central African Republic,Africa,2023-09-03,15367.0,113.0,2600389.0,5579148,661.24,1.0
Kyrgyzstan,Asia,2023-09-08,88858.0,1024.0,1736541.0,6630621,3393.474,4.5
Albania,Europe,2023-09-10,334090.0,3604.0,1349255.0,2842318,11803.431,2.89
South Africa,Africa,2023-09-24,4072533.0,102595.0,24210953.0,59893884,12294.876,2.32
Malawi,Africa,2023-09-24,88960.0,2686.0,5433538.0,20405318,1095.042,1.3
Guinea,Africa,2023-09-24,38563.0,468.0,8715641.0,13859349,1998.926,0.3
Russia,Europe,2023-09-26,23014969.0,400023.0,89081596.0,144713312,24765.954,8.05
Netherlands,Europe,2023-09-29,8618922.0,22986.0,12582081.0,17564020,48472.545,3.32
Denmark,Europe,2023-09-29,3416698.0,8814.0,4746522.0,5882259,46682.515,2.5
Portugal,Europe,2023-09-29,5623514.0,27502.0,9821414.0,10270857,27936.896,3.39
Armenia,Asia,2023-10-01,449867.0,8753.0,1150915.0,2780472,8787.58,4.2
Jamaica,North America,2023-10-03,156502.0,3591.0,859773.0,2827382,8193.571,1.7
Costa Rica,North America,2023-10-06,1230552.0,9366.0,4650636.0,5180836,15524.995,1.13
Djibouti,Africa,2023-10-08,15690.0,189.0,421573.0,1120851,2705.406,1.4
Belgium,Europe,2023-10-08,4821149.0,34339.0,9261641.0,11655923,42658.576,5.64
Cameroon,Africa,2023-10-15,125106.0,1974.0,3753733.0,27914542,3364.926,1.3
Poland,Europe,2023-11-10,6537200.0,119695.0,22877472.0,39857144,27216.445,6.62
Uruguay,South America,2023-11-13,1037893.0,7625.0,3010451.0,3422796,20551.409,2.8
Pakistan,Asia,2023-11-14,1580631.0,30656.0,165567890.0,235824864,5034.708,0.6
Italy,Europe,2023-11-16,26298877.0,192864.0,50936719.0,59037472,35220.084,3.18
Togo,Africa,2023-11-19,39527.0,290.0,2255579.0,8848700,1429.813,0.7
Indonesia,Asia,2023-11-23,6813429.0,161918.0,204419394.0,275501344,11188.744,1.04
Nepal,Asia,2023-11-23,1003450.0,12031.0,27883196.0,30547586,2442.804,0.3
Kuwait,Asia,2023-11-26,666529.0,2570.0,3457498.0,4268886,65530.537,2.0
Iran,Asia,2023-11-26,7624407.0,146705.0,65199831.0,88550568,19082.62,1.5
Croatia,Europe,2023-11-28,1285460.0,18487.0,2323025.0,4030361,22669.797,5.54
Peru,South America,2023-12-10,4505220.0,220516.0,30563708.0,34049588,12236.706,1.6
Yemen,Asia,2023-12-10,11945.0,2159.0,1050202.0,33696612,1479.147,0.7
Bulgaria,Europe,2023-12-23,1321120.0,38613.0,2155863.0,6781955,18563.307,7.454
Moldova,Europe,2023-12-23,629501.0,12167.0,1109524.0,3272993,5189.972,5.8
Tajikistan,Asia,2023-12-23,17786.0,125.0,5328277.0,9952789,2896.913,4.8
Uzbekistan,Asia,2023-12-23,175081.0,1016.0,22094470.0,34627648,6253.104,4.0
Ukraine,Europe,2023-12-23,5525469.0,109918.0,16267198.0,39701744,7894.393,8.8
Romania,Europe,2023-12-23,3508330.0,68669.0,8188137.0,19659270,23313.199,6.892
Dominican Republic,North America,2023-12-28,661103.0,4384.0,7367193.0,11228821,14600.861,1.6
Barbados,North America,2023-12-29,107794.0,593.0,163853.0,281646,16978.068,5.8
Haiti,North America,2023-12-29,34228.0,860.0,521396.0,11585003,1653.173,0.7
Colombia,South America,2023-12-29,6365994.0,142727.0,43012174.0,51874028,13254.949,1.71
Burundi,Africa,2023-12-31,54461.0,15.0,36909.0,12889583,702.225,0.8
Botswana,Africa,2023-12-31,330417.0,2800.0,1951054.0,2630300,15807.374,1.8
Cambodia,Asia,2023-12-31,139014.0,3056.0,15316670.0,16767851,3645.07,0.8
Afghanistan,Asia,2023-12-31,230375.0,7973.0,19151369.0,41128772,1803.987,0.5
Finland,Europe,2024-01-09,1499712.0,11421.0,4524288.0,5540745,40585.721,3.28
Argentina,South America,2024-01-27,10057795.0,130508.0,41529058.0,45510324,18933.907,5.0
Malta,Europe,2024-03-19,121404.0,904.0,478953.0,533293,36513.323,4.485
Ireland,Europe,2024-05-10,1736066.0,9629.0,4112237.0,5023108,67335.293,2.96
Greece,Europe,2024-06-26,5644357.0,39055.0,7938031.0,10384972,24574.382,4.21
Bangladesh,Asia,2024-07-02,2051009.0,29498.0,151507162.0,171186368,3523.984,0.8
Czechia,Europe,2024-07-31,4761348.0,43508.0,6982006.0,10493990,32605.906,6.63
Estonia,Europe,2024-08-02,610471.0,2998.0,870201.0,1326064,29481.252,4.69
Lithuania,Europe,2024-08-02,1368548.0,9810.0,1958299.0,2750058,29524.265,6.56
Malaysia,Asia,2024-08-04,5309410.0,37351.0,28138552.0,33938216,26808.164,1.9
India,Asia,2024-08-04,45041748.0,533623.0,1027438900.0,1417173120,6426.674,0.53
